chr	start_range	end_range	mut_reads	wt_reads	total_reads
19	16897800	16897900	0	6	6
19	16897900	16898000	0	2	2
19	18433000	18433100	0	4	4
19	18433100	18433200	0	12	12
19	18869800	18869900	0	6	6
19	18869900	18870000	0	6	6
19	18870000	18870100	0	10	10
19	32676100	32676200	0	2	2
19	32676400	32676500	0	4	4
19	32676500	32676600	0	4	4
19	40610400	40610500	0	9	9
19	40610500	40610600	0	11	11
19	40613800	40613900	0	5	5
19	40613900	40614000	0	5	5
19	42324000	42324100	0	4	4
19	46015100	46015200	0	8	8
19	46015200	46015300	0	8	8
19	46649400	46649500	0	2	2
19	46649500	46649600	0	2	2
19	47407100	47407200	0	12	12
19	47407200	47407300	0	6	6
19	51327700	51327800	0	10	10
19	51601400	51601500	0	6	6
19	51601500	51601600	0	8	8
19	53982400	53982500	0	12	12
19	53982500	53982600	0	4	4
19	55082300	55082400	0	2	2
19	55082400	55082500	0	10	10
19	58118200	58118300	0	1	1
19	58118300	58118400	0	1	1
19	58356200	58356300	0	2	2
2	20242400	20242500	0	8	8
2	25216000	25216100	0	8	8
2	26184600	26184700	0	6	6
2	26184700	26184800	0	8	8
2	47369200	47369300	0	8	8
2	47369300	47369400	0	2	2
2	55223500	55223600	0	16	16
2	55223600	55223700	0	4	4
2	63051800	63051900	0	4	4
2	63051900	63052000	0	8	8
2	70904800	70904900	0	4	4
2	70904900	70905000	0	16	16
2	72925100	72925200	0	6	6
2	73202900	73203000	0	21	21
2	73203000	73203100	0	3	3
2	74648000	74648100	0	12	12
2	74648100	74648200	0	8	8
2	91748900	91749000	0	8	8
2	102142800	102142900	0	10	10
2	102142900	102143000	0	6	6
2	109614900	109615000	0	12	12
2	109615000	109615100	0	6	6
2	113275900	113276000	0	6	6
2	113276000	113276100	0	10	10
2	124024600	124024700	0	4	4
2	124024700	124024800	0	6	6
2	131460800	131460900	0	4	4
2	161427100	161427200	0	2	2
2	165794300	165794400	0	14	14
2	170716400	170716500	0	8	8
2	170820200	170820300	0	6	6
2	170820300	170820400	0	4	4
2	197786100	197786200	0	8	8
2	197786200	197786300	0	6	6
2	208406500	208406600	0	4	4
2	208406700	208406800	0	12	12
2	208407000	208407100	0	8	8
2	208407100	208407200	0	6	6
2	219418800	219418900	0	12	12
2	219448500	219448600	0	10	10
2	219448600	219448700	0	22	22
2	219448700	219448800	0	8	8
2	219484500	219484600	0	7	7
2	219484600	219484700	0	9	9
2	219484700	219484800	0	4	4
2	219496700	219496800	0	2	2
2	219496800	219496900	0	12	12
2	223837800	223837900	0	10	10
2	223837900	223838000	0	12	12
2	230828400	230828500	0	6	6
2	230828500	230828600	0	2	2
20	1002400	1002500	0	4	4
20	1184700	1184800	0	8	8
20	1184800	1184900	0	6	6
20	2692200	2692300	0	4	4
20	3240000	3240100	0	14	14
20	3240100	3240200	0	6	6
20	20365300	20365400	0	2	2
20	20365400	20365500	0	10	10
20	21391500	21391600	0	16	16
20	21391600	21391700	0	2	2
20	25585200	25585300	0	2	2
20	46011100	46011200	0	2	2
20	46011200	46011300	0	6	6
20	46057500	46057600	0	8	8
20	46057600	46057700	0	8	8
20	57389800	57389900	0	2	2
20	62476700	62476800	0	22	22
20	62929100	62929200	0	16	16
21	26573100	26573200	0	20	20
21	26573200	26573300	0	10	10
21	37005900	37006000	0	1	1
21	37006000	37006100	0	15	15
21	45018500	45018600	0	4	4
21	46297600	46297700	0	6	6
21	46667200	46667300	0	5	5
21	46667300	46667400	0	9	9
22	16601500	16601600	0	14	14
22	16601600	16601700	0	12	12
22	17085600	17085700	0	8	8
22	17085700	17085800	0	8	8
22	19723900	19724000	0	16	16
22	19724000	19724100	0	12	12
22	19724100	19724200	0	12	12
22	19724200	19724300	0	8	8
22	29314800	29314900	0	10	10
22	29314900	29315000	0	12	12
22	30266700	30266800	0	8	8
22	42074300	42074400	0	12	12
22	46536500	46536600	0	4	4
22	46536600	46536700	0	10	10
22	50604200	50604300	0	8	8
3	13880100	13880200	0	8	8
3	27369400	27369500	0	2	2
3	27369500	27369600	0	14	14
3	37452400	37452500	0	1	1
3	37452500	37452600	0	1	1
3	45145900	45146000	0	6	6
3	45146000	45146100	0	6	6
3	45146100	45146200	0	6	6
3	45146200	45146300	0	6	6
3	48656200	48656300	0	2	2
3	48656300	48656400	0	4	4
3	48656400	48656500	0	8	8
3	48656500	48656600	0	6	6
3	48656600	48656700	0	9	9
3	48656700	48656800	0	5	5
3	49903700	49903800	0	6	6
3	49903800	49903900	0	2	2
3	50276200	50276300	0	4	4
3	56683300	56683400	0	6	6
3	56683400	56683500	0	10	10
3	56916200	56916300	0	10	10
3	56916300	56916400	0	2	2
3	58586900	58587000	0	14	14
3	62370500	62370600	0	2	2
3	62370600	62370700	0	14	14
3	62377200	62377300	0	10	10
3	62377300	62377400	0	6	6
3	87792700	87792800	0	16	16
3	87792800	87792900	0	4	4
3	122184300	122184400	0	2	2
3	122184400	122184500	0	4	4
3	158094300	158094400	0	10	10
4	1001900	1002000	0	6	6
4	1002800	1002900	0	6	6
4	1002900	1003000	0	4	4
4	1003000	1003100	0	18	18
4	5892600	5892700	0	22	22
4	5892900	5893000	0	6	6
4	6658800	6658900	0	20	20
4	8858200	8858300	0	8	8
4	13541900	13542000	0	4	4
4	13542100	13542200	0	2	2
4	13542200	13542300	0	4	4
4	24800000	24800100	0	6	6
4	24800100	24800200	0	24	24
4	30722000	30722100	0	14	14
4	30722300	30722400	0	6	6
4	30722400	30722500	0	4	4
4	39447100	39447200	0	2	2
4	39447200	39447300	0	12	12
4	39447300	39447400	0	4	4
4	40630400	40630500	0	4	4
4	40630500	40630600	0	4	4
4	42151300	42151400	0	2	2
4	42151400	42151500	0	8	8
4	48483300	48483400	0	2	2
4	48483400	48483500	0	6	6
4	48483500	48483600	0	10	10
4	54109800	54109900	0	4	4
4	54109900	54110000	0	8	8
4	55793600	55793700	0	1	1
4	55793700	55793800	0	1	1
4	84496400	84496500	0	6	6
4	84497400	84497500	0	4	4
4	84497500	84497600	0	12	12
4	90127800	90127900	0	4	4
4	90127900	90128000	0	16	16
4	93827400	93827500	0	10	10
4	154490200	154490300	0	4	4
4	154490300	154490400	0	10	10
4	154490400	154490500	0	6	6
5	52900	53000	0	11	11
5	53000	53100	0	9	9
5	1112100	1112200	0	16	16
5	2751200	2751300	0	4	4
5	3602200	3602300	0	10	10
5	3602300	3602400	0	14	14
5	16180100	16180200	0	14	14
5	16180200	16180300	0	6	6
5	32712000	32712100	0	5	5
5	32712100	32712200	0	5	5
5	40681600	40681700	0	2	2
5	40681700	40681800	0	8	8
5	54518300	54518400	0	8	8
5	55821700	55821800	0	6	6
5	55821800	55821900	0	24	24
5	55821900	55822000	0	8	8
5	69415300	69415400	0	12	12
5	73381600	73381700	0	6	6
5	73381700	73381800	0	10	10
5	73382300	73382400	0	12	12
5	73382400	73382500	0	10	10
5	73436800	73436900	0	2	2
5	73436900	73437000	0	12	12
5	73437000	73437100	0	10	10
5	76819900	76820000	0	4	4
5	77077500	77077600	0	2	2
5	77077600	77077700	0	6	6
5	78510000	78510100	0	11	11
5	78510100	78510200	0	3	3
5	78510200	78510300	0	2	2
5	93570800	93570900	0	10	10
5	95621000	95621100	0	2	2
5	95621100	95621200	0	10	10
5	132825600	132825700	0	4	4
5	132825700	132825800	0	14	14
5	134113600	134113700	0	8	8
5	134113700	134113800	0	8	8
5	135028100	135028200	0	6	6
5	135028200	135028300	0	6	6
5	135490500	135490600	0	2	2
5	135490700	135490800	0	12	12
5	157651800	157651900	0	5	5
5	157651900	157652000	0	5	5
5	171310000	171310100	0	12	12
5	178590100	178590200	0	4	4
5	178994400	178994500	0	6	6
5	178994500	178994600	0	4	4
6	1312100	1312200	0	8	8
6	1312200	1312300	0	8	8
6	1313400	1313500	0	4	4
6	1313500	1313600	0	14	14
6	1313600	1313700	0	8	8
6	1619800	1619900	0	14	14
6	1619900	1620000	0	2	2
6	4775800	4775900	0	2	2
6	4775900	4776000	0	6	6
6	5995100	5995200	0	4	4
6	13860100	13860200	0	4	4
6	32096400	32096500	0	6	6
6	32096500	32096600	0	2	2
6	36131200	36131300	0	10	10
6	36131300	36131400	0	8	8
6	41548100	41548200	0	20	20
6	41548200	41548300	0	2	2
6	44276100	44276200	0	2	2
6	44276200	44276300	0	6	6
6	57853800	57853900	0	2	2
6	57853900	57854000	0	4	4
6	73451300	73451400	0	8	8
6	84774300	84774400	0	12	12
6	84774400	84774500	0	8	8
6	100458200	100458300	0	8	8
6	100458300	100458400	0	10	10
6	104941100	104941200	0	10	10
6	109979200	109979300	0	2	2
6	109979300	109979400	0	12	12
6	116461800	116461900	0	4	4
6	116461900	116462000	0	4	4
6	136923500	136923600	0	10	10
6	136923600	136923700	0	16	16
6	136923700	136923800	0	4	4
6	137493500	137493600	0	14	14
6	159169300	159169400	0	4	4
6	159169400	159169500	0	14	14
6	169725000	169725100	0	12	12
6	169725100	169725200	0	12	12
6	170023300	170023400	0	4	4
7	24284500	24284600	0	10	10
7	28957900	28958000	0	4	4
7	28958000	28958100	0	10	10
7	50303800	50303900	0	10	10
7	50303900	50304000	0	6	6
7	50304200	50304300	0	6	6
7	71132200	71132300	0	10	10
7	91265500	91265600	0	12	12
7	91265600	91265700	0	2	2
7	97021400	97021500	0	4	4
7	99374200	99374300	0	6	6
7	116210300	116210400	0	9	9
7	116210400	116210500	0	1	1
7	127347800	127347900	0	8	8
7	129783000	129783100	0	4	4
7	129783100	129783200	0	12	12
7	130733300	130733400	0	4	4
7	130733600	130733700	0	2	2
7	130733800	130733900	0	4	4
7	130734100	130734200	0	4	4
7	153888200	153888300	0	2	2
7	153888300	153888400	0	8	8
7	155803400	155803500	0	6	6
8	2002100	2002200	0	2	2
8	2002200	2002300	0	6	6
8	31640700	31640800	0	6	6
8	38900000	38900100	0	14	14
8	38900100	38900200	0	6	6
8	38900200	38900300	0	8	8
8	38974300	38974400	0	18	18
8	38974400	38974500	0	6	6
8	38974500	38974600	0	16	16
8	39107500	39107600	0	8	8
8	41309100	41309200	0	8	8
8	53879200	53879300	0	10	10
8	54467100	54467200	0	4	4
8	56446500	56446600	0	4	4
8	70069700	70069800	0	2	2
8	70069800	70069900	0	16	16
8	98974200	98974300	0	10	10
8	98974300	98974400	0	8	8
8	98974400	98974500	0	8	8
8	109974500	109974600	0	4	4
8	123156700	123156800	0	4	4
8	123156800	123156900	0	4	4
8	141036100	141036200	0	3	3
8	141036200	141036300	0	1	1
8	143771700	143771800	0	2	2
8	143771800	143771900	0	8	8
8	144051900	144052000	0	9	9
8	144052000	144052100	0	1	1
8	144333400	144333500	0	10	10
8	144333500	144333600	0	10	10
8	144472600	144472700	0	4	4
8	144472700	144472800	0	8	8
8	144508200	144508300	0	2	2
8	144580800	144580900	0	15	15
8	144580900	144581000	0	9	9
8	144581000	144581100	0	10	10
8	144675300	144675400	0	10	10
9	969600	969700	0	14	14
9	6704400	6704500	0	4	4
9	6704500	6704600	0	4	4
9	38620400	38620500	0	4	4
9	38620500	38620600	0	6	6
9	86100100	86100200	0	20	20
9	88077000	88077100	0	6	6
9	88077100	88077200	0	2	2
9	88535400	88535500	0	2	2
9	88535500	88535600	0	16	16
9	88535600	88535700	0	4	4
9	92809700	92809800	0	6	6
9	92809800	92809900	0	2	2
9	97854400	97854500	0	8	8
9	97854500	97854600	0	4	4
9	101737700	101737800	0	2	2
9	101737800	101737900	0	2	2
9	107488000	107488100	0	6	6
9	137878100	137878200	0	8	8
X	40169700	40169800	0	2	2
X	40169800	40169900	0	6	6
