chr,start_div_100,Normal_count1,Normal_count2,Normal_count3,Normal_count4,Normal_count5,GBM_count1,GBM_count2,GBM_count3,GBM_count4,GBM_count5
10,1280107,3,2,3,1,1,3,3,3,3,3
10,1280108,6,3,7,5,4,3,3,3,3,3
10,1336880,2,2,2,2,2,2,2,2,2,2
11,2071,16,11,4,11,5,9,9,9,9,9
11,3189,2,2,2,2,2,5,5,5,3,5
11,3190,6,6,6,6,6,12,12,12,6,12
11,3191,1,1,1,2,1,4,4,4,2,4
11,5000,1,2,4,1,2,5,5,2,5,5
11,7274,4,4,4,3,3,4,4,4,4,4
11,7275,3,3,3,4,4,3,3,3,3,3
11,7596,2,5,2,1,1,1,1,1,1,1
11,21520,5,5,5,8,1,5,5,5,5,5
11,28280,1,2,2,1,2,2,2,2,2,2
11,93850,4,4,2,4,1,5,5,5,5,5
11,173524,6,7,8,13,10,6,6,8,6,6
11,182753,5,3,3,5,1,4,4,4,4,4
11,574825,5,4,4,4,9,19,19,19,19,18
11,576539,3,3,4,1,3,6,4,4,3,1
11,591725,3,1,2,1,1,11,19,10,11,11
11,591726,15,8,15,8,8,20,20,10,20,20
11,624447,1,3,2,1,1,8,8,8,8,8
11,626708,2,3,5,4,2,2,2,5,2,2
11,626709,2,1,3,3,2,2,2,3,2,2
11,643185,2,2,1,5,2,12,12,12,12,12
11,643186,4,4,9,5,4,4,4,4,4,4
11,646241,3,5,3,3,2,5,5,5,5,3
11,648431,1,1,1,1,1,2,2,2,2,2
11,648803,1,1,1,1,1,1,1,1,1,1
11,648804,2,5,5,2,2,2,2,2,2,2
11,651120,2,3,1,4,5,5,5,4,5,5
11,652621,5,5,5,5,5,5,8,11,5,5
11,652622,6,8,6,6,5,6,7,13,6,6
11,653870,4,4,1,4,3,1,1,1,1,1
11,654050,3,3,1,2,1,3,3,3,3,3
11,654788,6,6,1,1,7,3,3,3,2,3
11,662661,1,3,1,1,2,5,5,5,5,5
11,664311,9,8,4,4,5,4,4,4,4,4
11,673823,1,3,1,1,1,3,3,3,3,3
11,674036,4,7,4,3,3,4,7,4,4,4
11,727522,1,1,1,1,7,14,14,8,8,14
11,1079286,6,11,5,5,5,18,14,14,13,14
11,1080096,7,8,7,7,9,7,7,7,3,7
11,1226951,2,2,2,2,3,6,5,6,5,3
11,1226952,5,1,5,4,4,9,9,9,9,4
11,1235774,7,7,8,1,13,15,9,2,2,8
11,1305470,1,3,1,3,2,9,10,10,10,10
11,1345137,8,10,5,2,3,5,5,5,5,5
12,4133,5,5,2,2,3,4,4,4,4,4
12,7003,1,1,1,1,1,1,1,1,1,1
12,17969,4,6,6,5,1,11,11,11,6,11
12,62463,4,4,3,6,3,4,4,4,4,4
12,62464,2,2,2,5,3,2,2,2,2,2
12,69441,4,4,4,4,3,4,4,13,4,4
12,69574,3,7,7,7,5,4,4,4,3,3
12,78109,4,3,3,2,3,4,6,4,4,4
12,78110,5,7,8,10,3,1,4,1,1,1
12,79390,5,9,5,8,5,8,8,5,8,8
12,79391,3,12,3,7,3,3,3,3,3,3
12,82678,4,3,4,4,4,7,7,7,7,7
12,82679,3,1,3,3,3,7,7,7,7,7
12,83890,5,5,4,9,5,4,4,4,4,4
12,96476,1,1,1,1,1,1,1,1,1,1
12,96477,2,2,2,2,2,2,2,2,2,2
12,249033,6,7,3,3,4,3,5,3,3,3
12,269386,4,3,3,1,3,11,11,11,11,11
12,313244,5,9,5,5,5,15,14,7,7,8
12,313245,7,13,7,7,7,9,9,9,9,9
12,401050,1,1,1,1,1,1,1,1,1,1
12,477056,9,9,4,1,2,11,11,11,11,20
12,487162,2,3,2,3,1,1,2,1,1,1
12,489980,4,6,7,9,1,15,15,15,12,15
12,491104,5,10,14,3,5,9,9,14,9,9
12,492970,4,9,4,2,3,12,12,12,8,12
12,492971,13,11,11,11,9,22,22,22,14,22
12,493471,6,3,7,5,4,1,3,3,3,3
12,513244,4,5,3,5,3,3,3,6,3,2
12,519233,2,3,1,1,1,3,3,3,3,3
12,524062,3,3,3,1,3,3,3,3,3,3
12,524063,1,1,2,1,1,1,1,1,1,1
12,531981,2,3,6,6,6,5,5,5,5,5
12,559305,3,3,2,2,3,2,2,2,2,2
12,559306,6,7,4,4,6,4,4,4,4,4
12,562231,3,4,4,4,3,7,7,7,4,7
12,562232,2,1,1,1,2,3,3,3,1,3
12,572364,2,3,2,2,2,2,2,2,2,2
12,657421,2,2,2,4,2,4,4,4,4,4
12,657422,7,1,11,7,7,18,18,12,18,18
12,941025,2,6,5,5,2,5,5,5,5,2
12,941026,3,3,5,5,3,5,5,5,5,3
12,1042871,18,9,2,12,4,11,18,18,11,3
12,1047344,1,1,1,1,1,3,3,3,3,3
12,1047345,1,1,1,1,1,1,1,1,1,1
12,1098456,2,9,9,6,7,7,7,7,7,7
12,1121083,4,3,3,3,3,4,4,4,1,1
12,1139659,3,5,2,2,3,4,4,4,4,4
12,1139660,3,5,3,3,2,3,3,3,3,3
12,1170263,1,1,1,1,1,1,1,1,1,1
12,1171000,3,2,1,2,3,4,4,4,4,4
12,1202148,10,3,9,6,1,7,7,7,7,4
12,1203259,6,4,4,2,4,9,9,9,9,9
12,1222266,2,1,2,3,3,9,8,8,8,9
12,1222267,6,6,6,5,5,6,6,6,6,6
12,1232706,3,3,3,3,3,3,3,3,3,3
12,1246179,2,6,3,3,2,3,3,3,3,3
12,1250659,5,2,2,3,3,5,5,5,5,5
12,1320166,1,1,2,2,3,3,3,2,2,2
12,1322410,2,2,2,2,1,2,2,2,2,2
13,290346,2,2,1,1,1,1,1,1,1,1
13,298643,4,1,2,5,2,1,2,1,1,3
13,310440,3,6,3,3,3,7,8,6,8,8
13,310441,2,4,2,2,2,3,3,1,3,3
13,453769,1,1,1,1,1,1,1,1,1,1
13,453770,1,1,1,1,1,1,1,1,1,1
13,755493,3,10,4,4,9,5,5,5,5,5
13,956767,18,8,16,17,9,18,9,9,9,9
13,990873,7,7,7,3,7,15,15,15,15,15
13,990874,3,4,4,4,4,7,7,7,7,7
13,1065361,10,16,6,7,6,19,19,19,19,19
13,1128451,3,1,4,2,1,5,5,3,3,3
13,1131532,3,2,5,4,3,14,13,10,9,13
13,1138338,1,1,1,2,1,2,2,2,2,2
14,235674,15,8,7,4,7,8,8,8,8,8
14,339504,2,3,1,3,3,7,7,7,7,7
14,382554,10,17,1,1,1,13,9,13,13,9
14,508316,4,8,9,4,3,2,2,2,2,2
14,525535,3,3,3,3,6,3,3,3,3,3
14,525536,1,1,1,1,1,1,1,1,1,1
14,582450,10,9,1,5,3,12,12,12,10,10
14,598708,7,7,2,6,2,9,9,9,9,9
14,732397,10,1,5,5,3,20,20,20,20,20
14,734440,1,1,1,1,2,4,4,2,4,2
14,740179,1,1,5,4,1,5,4,4,4,5
14,744930,5,4,4,4,4,4,4,4,4,4
14,744931,1,4,4,4,4,15,4,4,9,15
14,915097,10,10,8,1,7,26,34,26,26,26
14,919371,5,3,5,2,3,5,4,4,5,4
14,923238,15,5,4,3,3,13,13,15,13,13
14,999724,3,9,3,3,8,17,17,19,17,17
14,1001592,9,8,8,9,9,18,17,17,18,17
14,1005477,2,3,1,1,1,1,1,1,1,1
14,1007065,1,1,1,1,1,2,1,1,1,1
14,1015575,1,1,2,2,1,1,1,1,1,1
14,1018453,3,2,1,1,1,1,1,1,1,1
14,1031047,4,7,4,3,4,15,15,20,12,15
14,1031048,8,17,9,10,10,19,19,12,9,19
14,1068791,2,1,1,1,2,1,1,1,1,1
15,202558,3,2,2,2,2,4,4,4,4,4
15,202559,1,1,1,1,1,1,1,1,1,1
15,337010,6,6,2,2,2,1,1,1,1,1
15,341613,4,3,6,6,6,4,7,7,7,4
15,509099,1,2,1,1,1,1,1,18,1,1
15,641472,7,5,2,1,2,7,11,2,6,8
15,682773,1,1,1,5,3,3,3,3,3,3
15,741264,3,2,2,5,3,2,2,5,2,2
15,741265,1,2,2,3,1,2,2,3,2,2
15,743740,6,9,3,4,7,7,9,7,7,7
15,763471,7,6,7,2,7,13,6,6,6,6
15,763472,5,5,5,4,4,18,10,14,10,14
15,825399,3,7,12,7,4,17,20,17,17,17
15,893994,1,1,1,1,1,1,1,1,1,1
15,893995,8,16,8,8,16,8,8,8,8,8
15,930416,2,2,3,3,3,2,2,2,5,2
15,930417,4,4,2,3,3,6,6,6,9,6
15,1008820,1,2,3,1,3,3,2,1,3,2
16,9157,8,1,8,8,1,8,9,8,8,8
16,14141,3,3,3,3,3,3,3,3,3,3
16,14142,8,8,8,8,8,8,8,8,10,8
16,25621,10,10,10,10,4,5,5,5,5,5
16,29083,4,6,6,5,3,3,3,3,3,3
16,29658,1,1,1,1,2,1,1,1,1,1
16,30500,1,1,1,1,1,1,1,1,1,1
16,46938,23,11,23,11,12,23,23,18,23,23
16,46939,4,3,4,3,1,27,27,12,16,27
16,47689,5,5,5,5,3,6,6,5,5,5
16,88703,4,10,4,12,3,4,4,7,4,4
16,89271,1,3,6,2,2,5,4,2,4,5
16,108796,2,2,1,3,2,2,2,1,2,2
16,108797,5,5,1,1,5,5,5,5,5,5
16,149121,17,17,17,17,9,9,9,9,9,9
16,149122,5,5,5,5,2,3,2,3,2,2
16,149655,2,1,1,5,1,1,1,1,1,1
16,149656,2,3,3,4,3,4,4,4,4,4
16,149746,6,7,14,2,7,15,15,15,15,15
16,149758,8,3,3,3,8,11,11,11,11,11
16,159529,3,2,1,2,1,2,2,2,2,2
16,169940,4,7,7,7,3,4,4,4,4,4
16,232098,4,1,2,4,4,1,4,8,1,1
16,242565,3,4,1,3,2,3,2,6,2,6
16,273676,1,5,4,8,1,11,11,11,11,11
16,299609,2,3,1,3,1,4,8,4,4,4
16,299610,4,10,5,9,1,5,5,5,5,5
16,299739,6,6,6,6,6,6,6,6,6,6
16,299740,2,2,2,2,2,2,2,2,2,4
16,299742,1,1,1,1,1,2,2,2,2,2
16,311280,3,1,5,2,2,2,2,2,2,2
16,330601,2,2,2,2,2,2,2,2,2,2
16,330602,5,5,5,5,5,5,5,5,5,5
16,486094,15,7,1,11,7,8,8,8,8,8
16,500655,2,3,3,2,5,3,3,3,3,3
16,500656,5,4,4,5,3,1,1,1,1,1
16,507400,2,2,4,3,2,3,3,3,3,3
16,537045,3,2,2,3,3,2,2,2,2,2
16,537046,3,1,1,3,3,1,1,1,1,1
16,569644,4,4,4,8,4,8,8,8,8,8
16,666960,5,1,1,1,2,12,12,7,8,8
16,668806,10,9,10,19,9,10,10,10,10,10
16,668807,6,8,5,5,2,7,7,7,7,7
16,671845,7,4,9,5,5,24,24,24,24,24
16,671846,3,9,14,8,8,14,14,14,14,14
16,671847,7,7,4,7,7,7,7,11,7,7
16,685204,6,8,5,5,4,4,4,4,4,4
16,693148,3,3,3,3,3,5,5,3,3,3
16,701566,3,3,4,3,3,3,5,3,3,3
16,701567,1,1,2,1,1,1,3,1,1,1
16,718949,1,2,2,2,1,2,2,2,2,2
16,720090,1,1,1,1,3,4,4,4,4,4
16,743677,5,5,3,6,7,13,9,4,9,6
16,771902,5,9,5,9,3,6,1,1,1,1
16,818957,5,2,5,4,5,5,9,9,9,5
16,818958,3,2,2,3,2,2,5,5,5,2
16,856155,5,2,3,3,1,2,2,2,2,3
16,856881,3,3,4,7,3,5,3,3,3,3
16,856882,4,4,8,7,4,8,8,8,8,8
16,856884,2,2,1,2,2,12,12,4,8,12
16,856885,2,2,2,2,2,2,2,2,2,2
16,856886,13,1,1,1,1,24,24,24,24,24
16,878687,2,2,2,4,2,2,2,2,2,2
16,878688,3,3,3,6,2,13,13,13,7,7
16,886627,3,3,6,3,3,14,14,14,14,14
16,895614,4,4,2,3,1,12,12,12,12,12
17,2352,1,1,9,1,7,16,16,16,16,16
17,3629,3,2,2,1,2,1,1,3,3,1
17,7318,8,2,6,7,5,2,3,3,2,2
17,10497,7,3,8,2,2,6,6,6,6,6
17,10498,3,7,6,1,3,4,4,4,4,4
17,11234,6,6,7,7,7,9,9,9,10,9
17,11235,2,2,1,6,8,8,8,8,8,8
17,45550,3,10,4,1,10,11,11,11,11,11
17,45648,1,1,1,1,1,1,1,1,1,1
17,45649,2,2,2,2,2,2,2,2,2,2
17,50773,4,4,4,7,7,4,5,4,1,2
17,70124,5,5,2,2,2,2,2,2,2,2
17,70125,15,15,8,8,8,8,8,8,8,8
17,73291,11,11,12,10,12,24,24,24,24,24
17,73292,2,2,2,2,1,3,3,3,3,3
17,74365,5,8,8,8,8,7,15,16,7,7
17,75616,2,1,1,1,1,8,1,1,1,8
17,80031,2,2,5,2,2,14,7,2,10,10
17,80032,7,7,13,7,6,24,7,7,13,7
17,80799,7,10,2,12,7,18,18,18,18,18
17,81559,2,2,2,2,2,3,3,3,3,3
17,130025,4,1,1,2,1,2,2,2,2,2
17,142993,2,1,1,2,1,1,1,3,1,1
17,181849,6,6,6,6,6,6,11,11,6,6
17,193846,1,2,1,1,1,2,3,4,2,2
17,197444,1,3,2,2,2,2,2,2,2,2
17,212755,2,4,2,2,2,11,11,11,11,11
17,213180,4,8,2,4,6,7,7,7,7,7
17,216840,5,5,5,5,5,5,5,5,5,5
17,216988,4,2,2,2,2,2,4,2,2,2
17,216989,3,3,3,3,3,3,3,3,3,3
17,282272,3,3,3,3,3,10,10,10,9,10
17,282273,5,6,4,5,6,8,8,8,8,8
17,297428,6,2,2,1,1,2,2,2,2,2
17,297429,5,3,2,3,2,3,3,3,3,3
17,323504,6,12,3,3,6,6,6,6,6,6
17,323505,3,4,2,2,1,4,4,4,4,4
17,387529,4,4,1,2,2,10,10,5,8,8
17,396220,3,2,1,1,1,2,2,2,2,2
17,426102,2,5,3,3,2,3,3,3,3,3
17,426597,1,1,4,3,1,4,4,4,4,3
17,427843,1,1,3,2,2,5,5,5,5,5
17,432516,8,8,8,8,8,8,8,8,8,8
17,432517,2,2,2,2,2,2,2,2,2,2
17,446556,3,2,3,3,1,2,2,2,2,2
17,495566,3,3,2,3,3,4,4,4,4,4
17,497090,2,2,3,2,1,3,3,3,3,3
17,511538,13,13,13,13,12,26,26,26,26,26
17,578614,3,5,5,5,4,8,8,8,8,8
17,578615,4,3,3,3,4,3,3,3,3,3
17,584996,2,2,2,2,1,2,2,2,2,2
17,584997,4,4,4,1,4,4,4,4,4,4
17,585143,6,6,6,5,6,6,6,6,6,6
17,585144,4,4,4,4,5,7,6,4,6,4
17,595653,1,8,8,1,8,8,8,8,8,8
17,601391,14,11,11,7,5,14,14,14,14,14
17,601392,3,2,4,3,2,10,10,10,5,5
17,649189,7,4,3,4,4,1,1,1,1,1
17,673784,3,2,5,3,2,2,2,2,2,2
17,685128,8,7,9,11,8,12,12,12,12,12
17,685129,6,6,5,1,6,6,6,6,6,6
17,742354,1,7,4,4,3,8,4,4,8,4
17,749178,2,3,1,1,1,2,2,2,2,2
17,752047,6,4,3,5,4,7,6,7,6,6
17,752048,4,1,1,4,1,9,9,9,9,9
17,755701,3,3,3,3,2,4,4,4,4,4
17,755702,7,7,1,4,4,4,3,4,4,4
17,760758,1,5,9,1,4,6,6,6,6,6
17,765575,2,2,2,2,3,3,3,3,3,3
17,774413,2,2,2,1,2,3,2,2,2,2
17,789284,3,3,2,2,2,3,3,3,3,3
17,797293,3,1,2,3,1,3,3,3,3,3
17,797775,2,3,2,1,1,1,1,1,1,1
17,797902,4,25,4,15,11,15,15,25,15,15
17,798887,3,4,3,1,1,4,4,4,4,4
17,804149,1,8,1,1,7,30,30,30,30,30
17,804156,5,3,5,5,5,14,14,16,13,8
17,808348,1,2,2,4,4,9,9,9,9,9
17,815516,2,2,6,5,3,3,3,3,3,3
17,816827,5,2,1,1,3,3,3,1,1,1
17,818336,8,3,3,6,2,8,8,8,8,8
17,823342,7,7,14,7,4,14,14,14,14,14
17,824593,10,2,5,6,1,12,10,10,10,10
17,830786,2,2,6,2,2,2,2,2,2,2
18,1122,4,3,4,3,3,4,4,4,4,4
18,1123,1,1,1,1,1,1,1,1,1,1
18,97084,9,9,7,10,9,16,16,11,7,16
18,97380,2,3,3,3,3,6,6,6,3,3
18,120680,3,4,1,3,3,5,5,5,5,5
18,123761,3,3,5,7,3,2,2,2,2,2
18,123762,2,2,2,9,2,3,3,3,3,3
18,129474,12,1,11,11,12,1,1,12,1,1
18,361301,2,8,7,8,3,10,10,10,10,10
18,459592,3,3,3,3,1,2,2,2,2,2
18,461839,2,1,2,2,1,2,2,2,2,2
18,461840,1,2,1,1,2,1,1,1,1,1
18,479309,8,3,2,5,1,26,17,17,28,26
18,487813,12,14,6,6,6,7,7,7,7,7
18,489157,5,3,4,3,1,4,4,4,4,4
18,510003,6,5,6,5,3,11,11,11,6,6
18,633180,4,4,4,7,4,4,4,4,4,4
18,771368,3,1,1,1,1,2,2,2,2,2
18,797169,2,1,1,1,2,3,3,3,3,3
18,797749,1,8,6,6,7,1,1,1,1,1
18,799533,4,4,4,4,3,6,9,9,9,5
19,8789,3,3,2,5,2,4,3,3,3,3
19,9213,5,5,4,5,4,4,4,4,4,4
19,14388,1,1,6,6,6,7,10,14,7,7
19,14826,1,3,3,3,5,5,8,5,8,5
19,14896,3,1,2,2,2,1,1,1,1,1
19,14897,3,2,1,1,1,3,3,3,3,3
19,18735,7,4,4,2,2,5,10,9,5,6
19,19430,6,5,3,1,3,5,5,9,5,5
19,24560,10,6,13,10,4,13,13,13,13,13
19,28996,6,3,9,7,5,11,11,11,11,6
19,28997,4,3,7,7,3,7,7,7,7,4
19,29440,1,1,1,1,1,1,1,1,1,1
19,46114,1,1,3,3,2,1,2,1,1,1
19,47234,3,3,3,2,3,3,3,3,3,3
19,47235,2,2,1,2,2,6,2,2,2,6
19,49094,7,13,7,7,7,13,13,13,13,13
19,49095,7,15,7,7,5,15,15,15,15,15
19,57197,1,7,7,1,8,15,8,15,15,15
19,72677,3,3,3,7,4,7,7,5,7,4
19,72678,1,1,2,1,1,2,2,2,2,2
19,75360,6,3,4,3,3,5,5,9,3,5
19,76961,7,4,3,3,1,3,3,3,3,3
19,79269,3,1,3,3,1,4,4,3,3,4
19,85864,6,2,1,5,7,6,6,6,6,6
19,102908,7,6,6,6,7,7,7,7,7,7
19,102911,9,4,4,8,4,7,7,7,7,7
19,102923,8,10,6,10,8,10,10,10,10,10
19,113460,11,6,11,5,6,5,6,6,6,6
19,113461,7,3,4,4,3,11,11,7,7,7
19,115602,3,1,4,6,6,1,1,1,1,1
19,139805,7,4,3,3,1,7,7,7,7,7
19,151779,11,4,10,5,6,20,20,20,20,20
19,152446,2,1,1,1,1,1,1,1,1,1
19,180084,15,14,14,14,14,3,3,3,3,3
19,180098,11,8,10,12,1,11,11,11,11,11
19,180582,4,10,4,9,1,1,1,1,1,1
19,181176,3,2,4,3,1,4,4,4,1,4
19,181935,22,11,10,10,10,20,20,20,20,20
19,185581,4,7,3,3,4,10,10,10,10,10
19,196642,6,4,6,6,6,6,6,6,6,6
19,196656,5,1,4,1,5,8,8,8,8,8
19,213590,3,3,1,2,1,4,6,4,6,4
19,213591,6,6,1,1,2,7,7,7,7,7
19,350448,1,1,1,1,1,1,1,1,1,1
19,350449,2,2,2,2,2,2,2,2,2,2
19,359955,7,6,12,1,1,26,26,10,26,26
19,372934,4,4,4,4,4,7,7,7,7,7
19,372935,2,2,2,2,2,2,2,2,2,2
19,373180,10,19,7,10,9,19,19,19,19,19
19,382569,4,1,2,2,2,2,2,2,2,2
19,393276,1,1,3,1,1,1,1,1,1,1
19,398919,18,9,4,6,5,18,18,12,12,12
19,401912,1,3,3,3,3,26,10,10,10,18
19,403984,4,4,4,1,2,1,1,1,1,1
19,419980,2,7,2,2,2,4,7,7,4,2
