chr,start_div_100,Normal_count1,Normal_count2,Normal_count3,Normal_count4,Normal_count5,Normal_count6,Normal_count7,Normal_count8,Normal_count9,Normal_count10,GBM_count1,GBM_count2,GBM_count3,GBM_count4,GBM_count5,GBM_count6,GBM_count7,GBM_count8,GBM_count9,GBM_count10
1,10923,10,8,8,7,7,8,10,6,7,8,8,10,10,10,8,10,10,3,3,3
1,11068,7,2,6,8,5,2,6,1,6,6,1,1,1,7,6,5,7,1,11,11
1,11152,14,14,11,14,10,14,9,9,14,11,3,14,9,9,9,9,9,3,3,3
1,11153,14,14,6,14,14,14,8,6,14,6,9,15,9,9,9,9,9,8,9,8
1,11158,26,17,17,27,12,17,29,4,12,17,26,29,29,29,29,29,29,30,29,29
1,11168,6,3,3,5,6,3,6,3,6,3,2,5,4,6,6,6,6,5,3,3
1,11232,5,6,6,2,3,6,3,2,3,6,6,6,7,6,6,6,6,6,6,6
1,11262,8,3,7,2,3,3,4,3,4,7,3,4,1,4,3,4,3,7,4,6
1,11290,6,5,4,4,3,5,1,2,2,4,3,3,2,3,3,3,3,2,2,2
1,11327,8,7,10,10,3,7,7,4,2,10,3,7,3,3,4,3,5,4,3,3
1,11360,9,9,9,9,4,9,9,4,4,9,5,9,9,9,9,5,9,5,5,5
1,11371,13,5,9,9,9,5,4,9,9,9,13,18,14,13,13,18,18,14,18,18
1,11372,3,1,8,8,1,1,2,3,3,8,3,9,3,8,3,9,8,8,3,3
1,11427,6,2,2,5,1,2,3,2,1,2,2,3,3,3,2,3,2,2,2,2
1,11451,3,3,3,3,3,3,2,2,3,3,3,3,4,3,3,3,3,3,3,3
1,11452,11,8,6,11,5,8,11,11,11,6,6,11,10,6,11,11,11,5,5,5
1,11564,5,8,8,8,2,8,8,1,5,8,6,4,6,6,6,5,6,4,1,2
1,11569,7,4,5,8,3,4,1,1,4,5,4,4,4,4,4,4,7,4,7,3
1,11640,8,1,7,16,11,1,16,16,5,7,13,13,13,14,14,14,14,13,13,13
1,11659,8,8,5,5,4,8,8,7,8,5,4,5,5,5,6,5,5,5,4,4
1,11672,6,6,14,14,4,6,7,4,8,14,6,6,2,9,9,9,9,9,8,9
1,11673,1,5,5,10,6,5,9,9,6,5,5,5,5,5,5,5,5,5,1,5
1,11674,7,7,9,7,7,7,6,8,7,9,10,10,10,10,10,10,10,10,7,10
1,11675,8,10,10,8,2,10,4,8,7,10,7,7,7,7,7,7,7,7,7,7
1,11678,4,8,1,8,4,8,7,1,1,1,7,7,7,7,7,7,7,7,6,7
1,11679,10,5,9,4,4,5,9,4,4,9,9,10,4,10,10,10,10,9,5,4
1,11691,4,4,2,5,4,4,1,2,2,2,4,5,1,5,3,4,4,5,1,3
1,11693,5,5,3,4,1,5,5,3,1,3,3,3,3,3,3,3,3,3,3,3
1,11713,4,1,4,4,4,1,7,3,6,4,3,6,6,3,3,3,3,6,3,3
1,11805,7,7,7,5,10,7,5,5,6,7,5,10,5,10,10,10,10,10,5,10
1,11982,8,6,6,8,4,6,4,4,1,6,4,4,4,4,4,4,4,4,4,4
1,12010,3,2,7,13,5,2,5,5,9,7,12,12,10,12,12,12,12,10,10,12
1,12042,8,4,8,7,4,4,4,1,4,8,1,4,1,4,3,4,8,1,1,1
1,12064,10,8,8,19,3,8,1,17,3,8,8,3,11,11,19,11,11,11,11,17
1,12066,12,4,4,16,13,4,12,9,9,4,4,16,13,13,13,13,13,13,13,9
1,12067,3,1,3,5,6,1,7,1,5,3,1,3,1,1,1,1,1,1,1,1
1,12071,4,4,3,4,4,4,2,1,3,3,2,2,2,2,2,2,2,2,2,2
1,12072,8,11,5,11,11,11,6,6,5,5,5,5,5,5,5,5,5,5,5,5
1,12114,14,7,1,14,8,7,14,6,1,1,13,13,13,14,14,13,13,13,13,13
1,12137,19,3,13,21,2,3,15,1,7,13,9,9,8,8,18,16,17,15,15,15
1,12173,15,22,30,9,6,22,25,7,15,30,15,15,8,23,8,15,23,6,17,17
1,12203,18,1,4,1,2,1,18,14,1,4,1,9,9,9,9,9,18,9,1,1
1,12204,14,6,13,13,7,6,6,7,13,13,6,13,6,13,13,13,13,13,6,6
1,12222,12,2,1,10,9,2,12,11,10,1,12,9,9,9,9,9,9,4,5,9
1,12223,2,2,2,4,5,2,5,5,5,2,3,3,3,5,3,3,3,2,2,2
1,12240,12,12,9,12,8,12,7,4,5,9,2,12,6,6,12,6,6,9,6,9
1,12241,7,7,7,7,7,7,6,7,7,7,7,10,4,7,10,7,8,10,10,10
1,12267,8,8,5,10,10,8,3,5,5,5,5,3,3,3,6,3,3,3,5,5
1,12296,3,4,2,4,1,4,3,3,2,2,2,2,2,2,3,2,2,2,2,2
1,12320,26,7,14,20,13,7,26,13,20,14,20,20,13,20,26,26,20,26,20,20
1,12321,17,6,6,18,13,6,17,16,13,6,11,15,10,10,18,17,10,13,16,15
1,12382,6,3,2,6,3,3,3,6,1,2,1,1,1,1,1,2,6,1,1,1
1,12383,9,4,3,7,7,4,7,7,7,3,4,4,4,4,4,4,7,4,4,4
1,12426,11,5,5,3,4,5,5,6,4,5,11,5,5,11,5,5,5,5,5,5
1,12430,10,6,4,4,1,6,9,10,9,4,9,5,9,10,9,9,9,5,10,9
1,12456,10,3,3,5,3,3,8,8,5,3,5,5,2,7,7,5,5,2,5,5
1,12466,28,28,27,28,12,28,25,2,12,27,25,28,25,27,28,28,28,26,28,26
1,12657,5,10,10,10,9,10,4,4,9,10,4,5,4,8,8,4,8,4,4,4
1,12676,4,1,1,4,2,1,3,3,3,1,1,1,3,1,3,1,3,2,1,1
1,12677,4,4,3,4,2,4,2,4,1,3,1,1,3,3,3,4,4,2,3,4
1,12680,13,8,8,13,8,8,8,7,12,8,12,8,9,12,16,12,7,9,3,3
1,12720,5,5,5,3,2,5,5,2,2,5,2,2,2,2,2,2,2,2,2,2
1,12730,5,6,5,5,4,6,6,3,4,5,3,3,1,4,4,4,4,4,1,1
1,12735,16,22,22,31,26,22,20,11,11,22,27,31,27,30,16,31,31,27,31,31
1,12737,19,5,15,17,3,5,5,11,2,15,29,18,13,29,29,29,29,18,29,29
1,12738,22,5,13,12,13,5,4,13,13,13,21,22,22,22,22,25,22,22,22,22
1,12878,7,7,7,3,3,7,1,8,1,7,4,6,7,8,5,8,7,4,4,8
1,12904,4,1,3,3,2,1,3,2,4,3,4,3,4,4,5,5,5,5,5,5
1,12905,9,9,9,9,5,9,9,9,5,9,5,4,10,10,10,10,10,6,5,5
1,12906,3,4,3,5,3,4,2,3,2,3,1,1,5,3,3,3,3,3,1,1
1,12913,3,5,4,8,8,5,5,1,4,4,5,5,5,5,5,5,5,5,5,5
1,12964,1,3,1,4,1,3,6,5,1,1,7,4,7,9,7,7,4,7,7,7
1,13023,5,3,3,4,3,3,2,5,3,3,3,5,5,3,5,3,5,5,3,5
1,13024,8,6,6,5,4,6,6,7,4,6,6,3,6,5,8,8,5,3,3,6
1,13025,6,6,5,6,3,6,6,3,3,5,3,3,3,6,6,6,3,3,3,3
1,13026,3,3,1,4,3,3,3,1,2,1,2,2,2,3,2,3,2,2,2,2
1,13058,3,3,3,5,4,3,4,3,2,3,3,1,1,3,3,1,1,1,3,1
1,13059,12,7,7,12,7,7,12,1,1,7,1,1,1,1,1,1,1,1,2,1
1,13075,21,24,8,20,12,24,24,4,16,8,21,16,21,24,17,24,24,21,20,17
1,13076,12,13,13,6,6,13,13,6,13,13,12,18,12,13,12,13,18,12,7,12
1,13082,28,10,15,23,15,10,10,9,15,15,14,19,28,28,23,14,14,10,14,14
1,13083,34,17,17,34,17,17,17,17,17,17,17,34,20,34,34,17,17,17,17,17
1,13086,11,5,5,5,6,5,6,6,11,5,11,11,11,11,11,11,11,11,15,11
1,13087,22,8,8,21,13,8,20,13,15,8,22,22,22,22,22,22,22,22,22,22
1,13088,12,2,2,23,13,2,21,13,2,2,12,12,12,12,12,12,12,12,12,12
1,13089,23,11,11,23,23,11,11,23,11,11,23,23,23,23,23,24,23,24,23,23
1,13092,12,6,5,11,6,6,15,15,7,5,10,12,9,10,10,10,10,10,16,10
1,13094,13,13,8,20,6,13,19,17,14,8,19,19,19,19,19,19,19,19,19,19
1,13095,1,1,1,4,3,1,7,3,4,1,4,4,4,4,6,4,4,4,4,4
1,13127,8,7,6,12,15,7,6,6,7,6,4,4,10,10,16,16,16,7,7,10
1,13128,8,6,3,6,7,6,3,2,5,3,6,6,6,6,6,6,6,4,4,7
1,13140,6,13,14,6,1,13,6,8,12,14,7,6,7,7,7,12,12,6,6,6
1,13189,8,4,4,8,4,4,4,3,4,4,7,7,8,8,7,8,8,7,3,3
1,13210,9,1,5,9,5,1,3,4,4,5,6,9,6,6,9,6,6,9,4,4
1,13211,7,6,4,6,6,6,3,3,1,4,6,6,2,6,6,6,6,2,4,4
1,13324,7,7,4,5,1,7,5,1,3,4,1,3,3,3,3,3,3,3,1,1
1,13325,12,11,7,11,5,11,9,4,5,7,5,9,9,9,9,9,9,9,6,7
1,13351,7,5,8,8,4,5,8,8,1,8,7,7,4,7,7,7,7,5,7,4
1,13364,10,9,9,10,9,9,18,1,11,9,10,10,10,10,10,10,10,10,10,10
1,13385,21,11,16,20,21,11,10,10,21,16,11,21,21,21,21,11,21,11,21,11
1,13450,7,3,3,3,7,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4
1,13486,3,8,7,3,10,8,17,10,10,7,3,17,10,17,17,17,10,10,17,10
1,13487,40,20,17,39,40,20,40,40,39,17,40,40,40,40,40,40,40,40,40,40
1,13498,24,8,8,24,24,8,24,13,13,8,12,23,20,23,12,13,23,12,12,12
1,13521,7,2,2,3,5,2,7,6,1,2,3,3,3,3,3,3,3,3,3,3
1,13535,4,2,2,5,4,2,5,2,2,2,3,3,3,4,3,4,4,3,3,3
1,13536,8,4,4,8,5,4,5,8,1,4,1,5,2,5,4,5,5,5,1,1
1,13576,6,5,4,4,5,5,5,4,6,4,2,5,3,6,3,5,5,3,3,5
1,13577,6,6,7,1,7,6,7,1,7,7,2,3,1,3,1,3,3,1,1,3
1,13967,8,2,4,7,6,2,7,2,8,4,6,6,3,8,8,6,3,3,6,3
1,13968,8,3,6,8,6,3,8,4,8,6,1,1,1,3,3,1,1,1,1,1
1,13991,14,9,8,9,1,9,13,7,5,8,17,17,17,17,17,9,17,17,17,9
1,13996,12,6,6,12,6,6,7,1,5,6,17,22,22,22,17,17,17,22,16,17
1,13998,10,9,8,10,7,9,5,8,2,8,2,5,5,5,2,2,2,5,3,2
1,14062,12,12,7,12,5,12,11,10,7,7,8,8,8,8,8,8,12,8,8,3
1,14066,14,6,6,16,13,6,13,8,12,6,6,11,6,8,6,8,6,8,8,6
1,14075,8,1,6,8,4,1,14,4,10,6,8,8,3,8,7,9,8,3,8,7
1,14108,3,1,3,3,1,1,3,1,1,3,3,2,2,3,3,2,2,2,2,2
1,14203,15,10,12,15,11,10,14,12,13,12,20,24,24,24,25,24,23,22,24,24
1,14276,34,15,15,34,17,15,32,17,36,15,17,19,17,38,32,17,23,2,23,17
1,14278,4,13,4,3,7,13,7,12,3,4,3,23,15,22,15,24,23,23,23,23
1,14279,2,2,2,3,5,2,5,1,2,2,3,5,5,5,5,5,5,5,11,5
1,14283,7,3,3,7,7,3,1,1,3,3,8,3,8,7,8,8,9,8,7,8
1,14333,2,2,2,4,4,2,3,2,5,2,1,1,1,4,1,2,1,1,1,2
1,14337,6,3,5,4,3,3,3,2,4,5,5,4,4,5,5,5,4,4,4,5
1,14338,4,1,1,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2
1,14343,7,5,5,8,2,5,6,2,2,5,5,9,2,6,5,5,5,6,2,2
1,14344,8,4,4,8,7,4,5,4,7,4,3,3,2,3,3,3,3,3,2,2
1,14354,11,11,11,11,20,11,6,12,11,11,6,6,6,12,6,6,6,6,6,6
1,14355,20,19,19,20,19,19,10,19,19,19,10,10,10,20,10,10,13,10,10,10
1,14358,19,11,28,19,17,11,25,15,36,28,10,23,37,38,36,30,36,37,37,15
1,14363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
1,14364,3,3,3,3,1,3,3,2,1,3,3,1,1,1,1,1,1,1,1,3
1,14370,9,7,9,7,4,7,5,2,7,9,2,9,7,9,7,8,9,9,5,2
1,14392,15,9,4,10,19,9,19,14,13,4,13,19,10,21,23,21,15,19,21,21
1,14393,13,7,7,6,13,7,13,16,13,7,7,13,7,13,13,13,13,13,14,13
1,14394,12,10,10,13,9,10,9,19,9,10,21,10,5,11,5,15,15,9,13,5
1,14396,30,7,7,30,7,7,30,7,5,7,18,26,14,23,23,26,14,26,26,23
1,14422,8,2,2,6,2,2,5,5,5,2,3,3,3,7,3,3,5,3,3,3
1,14555,3,2,2,3,4,2,3,2,4,2,3,3,2,3,3,3,3,5,2,3
1,14556,9,3,5,9,7,3,9,5,7,5,9,9,7,9,9,7,9,9,3,7
1,14599,8,8,9,12,2,8,5,2,3,9,5,5,5,5,5,5,5,5,5,5
1,14626,10,7,6,14,12,7,12,5,3,6,9,5,9,14,14,9,9,14,5,5
1,14627,6,1,1,6,2,1,6,5,2,1,6,6,7,6,6,5,6,5,5,5
1,14651,7,4,2,8,5,4,1,3,4,2,3,3,3,4,3,4,7,3,3,3
1,14718,17,10,10,25,8,10,25,15,10,10,17,14,17,25,25,25,25,22,25,25
1,14820,6,3,3,3,2,3,1,2,2,3,11,6,5,13,9,14,9,9,9,2
1,14821,10,10,10,10,5,10,10,5,5,10,5,10,5,10,5,5,5,5,5,5
1,14860,8,11,9,9,4,11,9,12,9,9,6,12,6,14,4,9,11,9,6,6
1,14861,10,6,1,6,6,6,6,11,6,1,11,1,6,11,11,6,11,1,6,11
1,14899,6,6,3,5,1,6,6,4,4,3,2,3,3,6,3,2,3,2,1,1
1,14900,7,7,7,7,3,7,14,10,3,7,4,7,3,7,7,4,7,4,7,7
1,15037,3,3,3,5,5,3,5,4,2,3,3,3,3,3,3,3,3,3,3,3
1,15038,3,3,2,7,7,3,7,7,4,2,3,3,3,3,3,3,3,3,3,3
1,15106,7,7,6,7,4,7,5,5,4,6,3,3,3,3,3,3,3,3,3,3
1,15115,17,15,15,23,8,15,16,11,8,15,7,14,7,8,7,15,7,7,15,8
1,15116,18,11,20,20,4,11,19,9,1,20,18,21,11,18,19,20,19,19,12,10
1,15122,16,10,15,16,10,10,21,16,10,15,21,21,21,21,21,21,21,21,21,21
1,15123,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,8,14,8,20,14
1,15125,11,12,5,12,12,12,6,6,12,5,6,12,12,12,12,12,12,12,12,12
1,15138,16,12,9,12,3,12,15,12,7,9,12,3,3,12,8,8,12,7,5,8
1,15202,25,12,12,25,27,12,12,12,27,12,13,25,27,25,27,25,25,13,25,25
1,15203,3,7,2,7,3,7,7,2,7,2,1,10,3,3,3,3,3,1,3,3
1,15221,6,2,2,5,6,2,6,3,6,2,2,2,2,2,2,2,2,2,2,2
1,15225,10,5,5,10,3,5,1,4,3,5,1,5,4,5,5,5,5,1,6,1
1,15239,6,3,1,7,3,3,3,1,3,1,4,3,3,4,4,3,7,4,3,3
1,15272,9,1,7,9,6,1,9,3,2,7,3,3,3,3,3,3,3,3,3,2
1,15273,5,2,4,9,1,2,2,1,3,4,10,12,12,12,12,11,12,7,11,11
1,15291,12,4,7,10,7,4,5,9,8,7,7,5,6,8,6,9,8,3,3,3
1,15366,3,1,2,4,2,1,3,2,2,2,2,3,3,3,4,4,3,3,2,2
1,15404,11,22,22,11,22,22,22,12,21,22,11,22,11,22,22,22,22,22,22,22
1,15412,8,4,5,3,5,4,8,5,5,5,8,6,6,12,8,10,10,1,8,4
1,15413,9,5,4,9,9,5,9,9,9,4,9,5,9,9,10,9,9,9,10,6
1,15431,8,6,8,8,5,6,5,8,5,8,1,5,1,5,1,1,1,1,1,1
1,15432,6,3,6,6,3,3,5,6,3,6,6,6,3,6,6,6,6,6,3,3
1,15433,14,8,7,5,6,8,8,5,6,7,5,10,2,10,5,5,5,5,2,2
1,15479,10,5,5,4,3,5,7,8,3,5,7,7,4,9,4,9,7,4,4,7
1,15550,4,3,4,5,6,3,5,5,3,4,5,3,3,5,3,3,3,3,3,3
1,15613,9,4,6,9,4,4,7,4,7,6,2,5,5,5,8,5,5,2,5,5
1,15614,14,13,7,14,13,13,13,7,7,7,7,14,14,14,14,14,14,7,11,14
1,15673,5,4,5,8,8,4,10,2,7,5,2,2,2,2,2,2,2,2,2,2
1,15674,6,3,6,6,4,3,6,3,5,6,3,3,3,3,3,3,3,3,3,3
1,15870,2,5,4,2,2,5,2,2,3,4,2,2,2,4,4,3,4,2,2,2
1,15944,13,8,3,9,2,8,3,9,5,3,7,9,7,7,7,7,7,7,7,7
1,15981,4,1,4,2,1,1,4,4,3,4,1,1,4,4,2,4,4,2,3,3
1,15983,3,5,5,3,1,5,5,3,1,5,4,4,3,5,5,4,6,2,6,6
1,15984,10,10,10,10,10,10,10,10,10,10,4,4,4,10,9,4,4,4,4,4
1,15985,4,5,4,4,2,5,4,3,4,4,2,2,2,4,2,2,2,2,2,2
1,15999,16,12,17,34,5,12,18,9,21,17,21,34,34,34,34,34,21,21,21,16
1,16003,24,24,7,18,11,24,6,12,12,7,11,11,5,18,24,11,18,17,11,5
1,16004,28,16,13,28,2,16,26,2,18,13,28,28,27,28,28,28,28,28,28,27
