Feature,Logistic_Regression,p_value
19_467566,0.0496,0.004085858867435353
Y_113326,-0.0479,0.004708441021582383
1_1470726,0.0476,0.0034711596163523495
20_262080,0.044,0.002028694904831656
5_1803285,-0.0434,0.01078728543010184
12_492971,0.0429,0.0009257096538214355
11_574825,0.0415,0.00012372480766117223
14_1001592,0.0406,6.220558537311652e-06
17_432516,0.0393,1.4431130415939122e-05
8_1440488,0.0385,0.0015696247864316645
5_734516,0.0385,0.03642220349185591
1_165347,-0.038,0.011741514993928249
4_1901212,0.0372,0.0038569614076123114
KI270733.1_1361,0.037,0.03184727508476604
17_823342,0.0326,0.017774272131341223
KI270733.1_1751,0.0321,0.02474547592004318
22_107420,-0.032,0.010256793904249068
9_1321985,-0.0317,0.01137377601159533
KI270719.1_1707,-0.0313,0.0023195890218726764
KI270733.1_1651,-0.0307,8.334787531209241e-05
10_1258960,-0.0303,0.041093287800156385
7_1026391,-0.0291,0.028795308383282377
12_79390,-0.0272,6.473801970847252e-07
9_409921,-0.0249,0.0001020786951923055
19_373180,0.0245,0.007170300860552426
10_465564,0.0245,0.004991572611932597
17_181849,0.0238,0.027339884776256936
22_383973,0.0229,0.014786100409256793
9_397915,0.0215,0.0002195916136998023
19_102923,0.0202,0.0021746901957145595
16_569644,0.0188,0.028536458931946493
2_99510,0.0187,0.0003628533142844853
16_671845,0.0177,0.013972699951427213
MT_29,-0.0158,0.0008841230715556047
9_1321984,-0.0155,0.04393876681918194
5_1151804,0.0138,0.0019500394587620667
8_989417,0.0118,0.0001436641309126533
22_415893,-0.0116,0.03234020318919653
9_358466,0.0115,0.013878704957078016
2_2319257,0.0089,0.01909212467160334
17_73291,0.0085,0.0008009049247315757
1_2310400,0.0076,0.007731764946759336
15_893995,0.0046,0.012396176872315524
5_1151803,0.0038,0.01639899573745878
MT_137,-0.0037,0.003964131088072694
MT_135,-0.0035,4.095350990674779e-06
11_591726,0.0031,0.0049451158158273925
8_989418,0.003,0.031550147582834184
8_1022397,0.0028,0.006855742693701894
MT_148,-0.0028,0.012127997819770366
MT_97,-0.002,0.0002755821038596646
MT_116,-0.0018,0.0013182686725292196
19_49095,0.0017,0.033688279660044555
MT_72,-0.0017,0.009722894648283274
MT_30,-0.001,0.04411062600106824
10_1042552,0.0009,0.030399659145106738
